id,label
0,4
1,0
2,0
3,0
4,0
5,1
6,1
7,3
8,3
9,3
10,2
11,2
12,0
13,2
14,2
15,3
16,4
17,0
18,2
19,1
20,1
21,1
22,1
23,0
24,2
25,1
26,0
27,4
28,3
29,0
30,4
31,3
32,0
33,4
34,0
35,0
36,2
37,4
38,1
39,1
40,2
41,1
42,2
43,1
44,3
45,0
46,2
47,1
48,2
49,0
50,4
51,2
52,3
53,1
54,1
55,4
56,4
57,1
58,3
59,1
60,4
61,2
62,0
63,3
64,3
65,3
66,0
67,3
68,0
69,2
70,0
71,1
72,1
73,3
74,1
75,3
76,0
77,3
78,2
79,4
80,0
81,1
82,2
83,4
84,1
85,0
86,2
87,4
88,0
89,4
90,1
91,0
92,1
93,0
94,4
95,1
96,0
97,3
98,1
99,4
100,0
101,3
102,3
103,1
104,1
105,0
106,1
107,4
108,0
109,4
110,1
111,3
112,1
113,3
114,1
115,0
116,2
117,2
118,2
119,3
120,2
121,2
122,1
123,1
124,3
125,2
126,2
127,4
128,3
129,3
130,0
131,0
132,4
133,4
134,1
135,1
136,2
137,3
138,1
139,1
140,2
141,0
142,4
143,3
144,2
145,3
146,4
147,0
148,0
149,2
150,1
151,3
152,2
153,4
154,0
155,2
156,1
157,1
158,0
159,1
160,2
161,2
162,1
163,1
164,3
165,1
166,4
167,2
168,2
169,4
170,3
171,3
172,1
173,1
174,1
175,0
176,0
177,0
178,3
179,4
180,4
181,4
182,2
183,1
184,1
185,0
186,0
187,1
188,3
189,0
190,1
191,1
192,4
193,4
194,3
195,0
196,1
197,0
198,1
199,4
200,4
201,4
202,2
203,3
204,3
205,0
206,3
207,4
208,1
209,0
210,0
211,2
212,2
213,4
214,4
215,2
216,4
217,0
218,4
219,3
220,4
221,2
222,0
223,2
224,3
225,3
226,1
227,1
228,2
229,3
230,3
231,3
232,0
233,0
234,1
235,3
236,2
237,2
238,2
239,0
240,0
241,0
242,2
243,0
244,3
245,3
246,0
247,3
248,1
249,2
250,3
251,3
252,4
253,1
254,2
255,1
256,1
257,2
258,1
259,3
260,2
261,2
262,2
263,0
264,3
265,1
266,3
267,1
268,0
269,1
270,0
